qhat,theta,n_safe,n_uncertain,n_risk,frac_safe,frac_uncertain,frac_risk
0.0355966839069579,1.5,38,46,60,0.2638888888888889,0.3194444444444444,0.4166666666666667
0.0138321412639761,1.4,132,2,10,0.9166666666666666,0.013888888888888888,0.06944444444444445
0.0138321412639761,1.45,103,8,33,0.7152777777777778,0.05555555555555555,0.22916666666666666
0.0138321412639761,1.5,72,12,60,0.5,0.08333333333333333,0.4166666666666667
0.0279422638407413,1.4,126,8,10,0.875,0.05555555555555555,0.06944444444444445
0.0279422638407413,1.45,98,13,33,0.6805555555555556,0.09027777777777778,0.22916666666666666
0.0279422638407413,1.5,53,31,60,0.3680555555555556,0.2152777777777778,0.4166666666666667
0.0135806680060661,1.4,132,2,10,0.9166666666666666,0.013888888888888888,0.06944444444444445
0.0135806680060661,1.45,103,8,33,0.7152777777777778,0.05555555555555555,0.22916666666666666
0.0135806680060661,1.5,72,12,60,0.5,0.08333333333333333,0.4166666666666667
0.0424837218229237,1.4,118,16,10,0.8194444444444444,0.1111111111111111,0.06944444444444445
0.0424837218229237,1.45,89,22,33,0.6180555555555556,0.1527777777777778,0.22916666666666666
0.0424837218229237,1.5,27,57,60,0.1875,0.3958333333333333,0.4166666666666667
0.0231988200624697,1.4,126,8,10,0.875,0.05555555555555555,0.06944444444444445
0.0231988200624697,1.45,99,12,33,0.6875,0.08333333333333333,0.22916666666666666
0.0231988200624697,1.5,60,24,60,0.4166666666666667,0.16666666666666666,0.4166666666666667
0.0345666207741948,1.4,121,13,10,0.8402777777777778,0.09027777777777778,0.06944444444444445
0.0345666207741948,1.45,93,18,33,0.6458333333333334,0.125,0.22916666666666666
0.0345666207741948,1.5,40,44,60,0.2777777777777778,0.3055555555555556,0.4166666666666667
0.0095481427790957,1.4,133,1,10,0.9236111111111112,0.006944444444444444,0.06944444444444445
0.0095481427790957,1.45,107,4,33,0.7430555555555556,0.027777777777777776,0.22916666666666666
0.0095481427790957,1.5,79,5,60,0.5486111111111112,0.034722222222222224,0.4166666666666667
