sample_id,region,target,time_s,time_yr,true,pred,rel_error,abs_log10_ratio
74,cell_3,atoms_H3,63083642.4,2.0003691780821917,4.78809e+17,4.923190244631966e+17,0.028215894987764657,0.012084313256087028
87,cell_3,atoms_H3,63083642.4,2.0003691780821917,2.96421e+17,3.1497866077888806e+17,0.06260575593121967,0.026372164069856638
14,cell_3,atoms_H3,157693327.2,5.000422602739726,3.72776e+18,3.4670356239626153e+18,0.06994129880608857,0.03148963983309916
20,cell_3,atoms_H3,157693327.2,5.000422602739726,2.43125e+18,2.653960201642624e+18,0.09160316777074509,0.038064787297747524
71,cell_3,atoms_H3,157693327.2,5.000422602739726,2.28152e+18,2.250905749209306e+18,0.013418357406769998,0.005866969752282684
74,cell_3,atoms_H3,157693327.2,5.000422602739726,2.06647e+18,2.1217795487586527e+18,0.026765231897222158,0.011471154262330028
87,cell_3,atoms_H3,157693327.2,5.000422602739726,1.27939e+18,1.3614105610504325e+18,0.06410911532092052,0.026986163440285735
14,cell_3,atoms_H3,315358696.8,9.999958675799087,9.64748e+18,8.95063433994691e+18,0.07223084785385306,0.032560071648502
20,cell_3,atoms_H3,315358696.8,9.999958675799087,6.29267e+18,6.860837481582195e+18,0.09029036666187719,0.03754217486297833
71,cell_3,atoms_H3,315358696.8,9.999958675799087,5.90554e+18,5.844772170905376e+18,0.010289969942566516,0.004492028424976615
74,cell_3,atoms_H3,315358696.8,9.999958675799087,5.349e+18,5.513664227862963e+18,0.03078411438829,0.013167716934873959
87,cell_3,atoms_H3,315358696.8,9.999958675799087,3.31205e+18,3.5248194988401306e+18,0.06424102861977644,0.02703999783216835
14,cell_3,atoms_Li6,3153600.0,0.1,4.08334e+21,4.083335312023217e+21,1.1480740724874988e-06,4.986025207092127e-07
20,cell_3,atoms_Li6,3153600.0,0.1,4.08335e+21,4.083347353502888e+21,6.48119096289719e-07,2.8147463834524325e-07
71,cell_3,atoms_Li6,3153600.0,0.1,4.08335e+21,4.083348988927717e+21,2.4760852809116434e-07,1.0753503075040993e-07
74,cell_3,atoms_Li6,3153600.0,0.1,4.08335e+21,4.0833489383545687e+21,2.5999373831316343e-07,1.1291386055862087e-07
87,cell_3,atoms_Li6,3153600.0,0.1,4.08335e+21,4.0833491575625477e+21,2.0631037074113754e-07,8.959946483495391e-08
14,cell_3,atoms_Li6,15768000.0,0.5,4.08325e+21,4.083256359164236e+21,1.557378126690447e-06,6.763601999806606e-07
20,cell_3,atoms_Li6,15768000.0,0.5,4.08328e+21,4.083278969423886e+21,2.523892836090829e-07,1.0961128698428728e-07
71,cell_3,atoms_Li6,15768000.0,0.5,4.08329e+21,4.083288468383711e+21,3.7509368403803795e-07,1.6290114771038654e-07
74,cell_3,atoms_Li6,15768000.0,0.5,4.0833e+21,4.083289332437806e+21,2.6124855371664605e-06,1.1345895348747898e-06
87,cell_3,atoms_Li6,15768000.0,0.5,4.08332e+21,4.083311630769829e+21,2.0496140815171966e-06,8.901369978748722e-07
14,cell_3,atoms_Li6,31536000.0,1.0,4.08313e+21,4.0831523968821856e+21,5.485223881095485e-06,2.382195930135946e-06
20,cell_3,atoms_Li6,31536000.0,1.0,4.0832e+21,4.0832011486276857e+21,2.8130576159297807e-07,1.2216952279550807e-07
71,cell_3,atoms_Li6,31536000.0,1.0,4.08322e+21,4.083220535612338e+21,1.311740092889357e-07,5.696814463277035e-08
74,cell_3,atoms_Li6,31536000.0,1.0,4.08323e+21,4.0832238362758186e+21,1.509521673081438e-06,6.555774277468336e-07
87,cell_3,atoms_Li6,31536000.0,1.0,4.08328e+21,4.083263014016115e+21,4.15988712137897e-06,1.806619779801383e-06
14,cell_3,atoms_Li6,63083642.4,2.0003691780821917,4.08256e+21,4.0826203446033294e+21,1.4781069556706945e-05,6.41928950326725e-06
20,cell_3,atoms_Li6,63083642.4,2.0003691780821917,4.0828e+21,4.0827788616932356e+21,5.1774044196076265e-06,2.2485239907916325e-06
71,cell_3,atoms_Li6,63083642.4,2.0003691780821917,4.08286e+21,4.0828606139661266e+21,1.503764827875989e-07,6.53076717870091e-08
