seed,r2,mae,qhat,ci_width,picp,y_range,width_range_ratio
84,0.971611227061902,0.006757559063261904,0.013107426076231166,0.02621485215246233,0.7857142857142857,0.16450027715799997,0.15936053485966695
85,0.9851130307150625,0.004071949424438591,0.022492509804194594,0.04498501960838919,1.0,0.145460390572,0.3092595821549269
86,0.8993736090919641,0.009594894294991354,0.02255143364898715,0.0451028672979743,0.9285714285714286,0.1308697479969998,0.34463936844295207
87,0.9577510937039589,0.009662177193688368,0.032663533050141025,0.06532706610028205,0.9285714285714286,0.17809847696799985,0.3668030586921852
88,0.9405649961388899,0.008263471747169444,0.019979709173237437,0.03995941834647487,0.9285714285714286,0.13587998013799996,0.29407877676970523
89,0.9564350221603735,0.006086259252758868,0.021128803026953635,0.04225760605390727,1.0,0.16139560441399992,0.2618262511382356
90,0.9645183635440499,0.005918700946806751,0.014607437299687387,0.029214874599374774,0.9285714285714286,0.205975306734,0.14183678161529992
91,0.9589809178317683,0.00806890604359134,0.011773866064969107,0.023547732129938215,0.7142857142857143,0.177331970577,0.13278898358439806
92,0.9808818186128655,0.0038972355144339626,0.025196301203613825,0.05039260240722765,1.0,0.10963531768899992,0.4596384036590766
93,0.9466984742781688,0.006802199187961274,0.046430872885362184,0.09286174577072437,1.0,0.130980783911,0.7089722858417378
94,0.9847611408733401,0.004119170848052578,0.014053127189959103,0.028106254379918205,1.0,0.17370570233299998,0.16180386712945968
95,0.941839440983654,0.0071983310673177725,0.011575104914227863,0.023150209828455726,0.7857142857142857,0.137021367984,0.16895328202502677
96,0.9401343465386272,0.007173768821314708,0.02181567555073949,0.04363135110147898,0.9285714285714286,0.13822214493000007,0.3156610767657761
97,0.9555682291423265,0.006797715285043344,0.017145764866812296,0.03429152973362459,1.0,0.13610461880799996,0.25194978711191984
98,0.9570450873069634,0.006333913085343986,0.01001264291919246,0.02002528583838492,0.7857142857142857,0.12943392633700013,0.15471435044198664
99,0.9801534135143156,0.006902423908847115,0.01973963811456536,0.03947927622913072,1.0,0.18912211474899987,0.20875018387736963
100,0.9642411417868888,0.00609866412482442,0.025560268985536982,0.051120537971073965,0.9285714285714286,0.1868261660499999,0.2736262219147219
