region,feature,grid_value,pdp_log10_h3
cell_2,SHIELD_THICK_CM,20.77381147002252,-1.6354096924167964e-05
cell_2,SHIELD_THICK_CM,21.50461203374531,-1.6354096924167964e-05
cell_2,SHIELD_THICK_CM,22.2354125974681,-1.1163552282958554e-05
cell_2,SHIELD_THICK_CM,22.966213161190893,-1.1163552282958554e-05
cell_2,SHIELD_THICK_CM,23.69701372491368,-1.1163552282958554e-05
cell_2,SHIELD_THICK_CM,24.427814288636476,6.516433134128251e-08
cell_2,SHIELD_THICK_CM,25.158614852359264,6.516433134128251e-08
cell_2,SHIELD_THICK_CM,25.889415416082056,6.516433134128251e-08
cell_2,SHIELD_THICK_CM,26.620215979804847,6.516433134128251e-08
cell_2,SHIELD_THICK_CM,27.35101654352764,6.516433134128251e-08
cell_2,SHIELD_THICK_CM,28.08181710725043,6.516433134128251e-08
cell_2,SHIELD_THICK_CM,28.81261767097322,6.516433134128251e-08
cell_2,SHIELD_THICK_CM,29.543418234696013,6.516433134128251e-08
cell_2,SHIELD_THICK_CM,30.274218798418804,4.478380081137404e-06
cell_2,SHIELD_THICK_CM,31.005019362141596,4.478380081137404e-06
cell_2,SHIELD_THICK_CM,31.735819925864384,5.928187018697429e-07
cell_2,SHIELD_THICK_CM,32.46662048958717,-3.555269556729723e-06
cell_2,SHIELD_THICK_CM,33.19742105330997,-3.555269556729723e-06
cell_2,SHIELD_THICK_CM,33.92822161703276,2.698751720952754e-06
cell_2,SHIELD_THICK_CM,34.65902218075555,1.790803403337394e-06
cell_2,SHIELD_THICK_CM,35.38982274447834,1.790803403337394e-06
cell_2,SHIELD_THICK_CM,36.12062330820113,3.296892474098244e-06
cell_2,SHIELD_THICK_CM,36.85142387192393,3.296892474098244e-06
cell_2,SHIELD_THICK_CM,37.582224435646715,3.296892474098244e-06
cell_2,SHIELD_THICK_CM,38.3130249993695,-2.7368785718576287e-07
cell_2,SHIELD_THICK_CM,39.0438255630923,4.379294169176629e-06
cell_2,SHIELD_THICK_CM,39.774626126815086,2.638474772517378e-06
cell_2,SHIELD_THICK_CM,40.505426690537874,2.638474772517378e-06
cell_2,SHIELD_THICK_CM,41.23622725426067,2.638474772517378e-06
cell_2,SHIELD_THICK_CM,41.967027817983464,8.541408223125718e-06
cell_2,SHIELD_THICK_CM,42.69782838170625,8.541408223125718e-06
cell_2,SHIELD_THICK_CM,43.42862894542904,8.541408223125718e-06
cell_2,SHIELD_THICK_CM,44.159429509151835,8.541408223125718e-06
cell_2,SHIELD_THICK_CM,44.89023007287462,1.6142095452037546e-05
cell_2,SHIELD_THICK_CM,45.62103063659742,1.6142095452037546e-05
cell_2,SHIELD_THICK_CM,46.351831200320206,1.6142095452037546e-05
cell_2,SHIELD_THICK_CM,47.082631764043,1.6142095452037546e-05
cell_2,SHIELD_THICK_CM,47.81343232776579,1.6142095452037546e-05
cell_2,VV_THICK_CM,11.03564641730176,-5.5850994719679465e-05
cell_2,VV_THICK_CM,11.401687162635135,-5.5850994719679465e-05
cell_2,VV_THICK_CM,11.76772790796851,-5.5850994719679465e-05
cell_2,VV_THICK_CM,12.133768653301885,-5.5850994719679465e-05
cell_2,VV_THICK_CM,12.49980939863526,-5.5850994719679465e-05
cell_2,VV_THICK_CM,12.865850143968636,-5.5850994719679465e-05
cell_2,VV_THICK_CM,13.231890889302012,-5.5850994719679465e-05
cell_2,VV_THICK_CM,13.597931634635387,-5.5850994719679465e-05
cell_2,VV_THICK_CM,13.963972379968762,-5.5850994719679465e-05
cell_2,VV_THICK_CM,14.330013125302138,-5.5850994719679465e-05
cell_2,VV_THICK_CM,14.696053870635513,-5.5850994719679465e-05
cell_2,VV_THICK_CM,15.062094615968888,-5.5850994719679465e-05
cell_2,VV_THICK_CM,15.428135361302264,-5.5850994719679465e-05
cell_2,VV_THICK_CM,15.79417610663564,-5.5850994719679465e-05
cell_2,VV_THICK_CM,16.160216851969015,-5.5850994719679465e-05
cell_2,VV_THICK_CM,16.52625759730239,-5.5850994719679465e-05
cell_2,VV_THICK_CM,16.892298342635765,-5.5850994719679465e-05
cell_2,VV_THICK_CM,17.25833908796914,-4.949356080380063e-05
cell_2,VV_THICK_CM,17.624379833302516,-4.949356080380063e-05
cell_2,VV_THICK_CM,17.99042057863589,-4.949356080380063e-05
cell_2,VV_THICK_CM,18.356461323969267,-5.1357124976579985e-05
cell_2,VV_THICK_CM,18.722502069302642,-4.9842001855478175e-05
cell_2,VV_THICK_CM,19.08854281463602,-5.0338190171222314e-05
cell_2,VV_THICK_CM,19.454583559969393,-4.405125084065114e-05
cell_2,VV_THICK_CM,19.820624305302772,-4.772649177360193e-05
cell_2,VV_THICK_CM,20.186665050636144,-4.916393379145488e-05
cell_2,VV_THICK_CM,20.552705795969523,-4.916393379145488e-05
cell_2,VV_THICK_CM,20.918746541302895,-4.916393379145488e-05
cell_2,VV_THICK_CM,21.284787286636274,-4.916393379145488e-05
cell_2,VV_THICK_CM,21.650828031969645,-4.9873900921113924e-05
cell_2,VV_THICK_CM,22.016868777303024,-4.9873900921113924e-05
cell_2,VV_THICK_CM,22.382909522636396,-4.9873900921113924e-05
cell_2,VV_THICK_CM,22.748950267969775,-4.9873900921113924e-05
cell_2,VV_THICK_CM,23.114991013303147,-4.9873900921113924e-05
cell_2,VV_THICK_CM,23.481031758636526,-4.8725254553334844e-05
cell_2,VV_THICK_CM,23.847072503969898,-4.8725254553334844e-05
cell_2,VV_THICK_CM,24.213113249303277,-5.1056814437778354e-05
cell_2,VV_THICK_CM,24.57915399463665,-6.939139535998414e-05
cell_2,VV_THICK_CM,24.945194739970027,-6.606426311187965e-05
cell_2,VV_THICK_CM,25.3112354853034,-7.097269797902984e-05
cell_2,VV_THICK_CM,25.677276230636778,-7.097269797902984e-05
cell_2,VV_THICK_CM,26.04331697597015,-7.097269797902984e-05
cell_2,VV_THICK_CM,26.40935772130353,-1.3636369854423698e-05
cell_2,VV_THICK_CM,26.7753984666369,-1.3636369854423698e-05
cell_2,VV_THICK_CM,27.14143921197028,0.00015814877728230288
cell_2,VV_THICK_CM,27.507479957303655,4.5106387506471496e-05
cell_2,VV_THICK_CM,27.87352070263703,2.9798893288331355e-05
cell_2,VV_THICK_CM,28.239561447970406,0.00023502306947150155
cell_2,VV_THICK_CM,28.60560219330378,0.0001996709429592951
cell_2,VV_THICK_CM,28.971642938637157,0.00020360559446971395
cell_2,LI6_ENRICH_ATOM_FRAC,0.3326372596860436,0.0005298741750328869
cell_2,LI6_ENRICH_ATOM_FRAC,0.34361187062379384,0.0004423505036421493
cell_2,LI6_ENRICH_ATOM_FRAC,0.35458648156154415,0.0004243769448420902
cell_2,LI6_ENRICH_ATOM_FRAC,0.3655610924992944,0.0004250200967709814
cell_2,LI6_ENRICH_ATOM_FRAC,0.37653570343704473,0.00036676294835108974
cell_2,LI6_ENRICH_ATOM_FRAC,0.387510314374795,0.00036676294835108974
