region,target,sample_id,time_s,time_yr,true,pred,ci_lower,ci_upper
cell_3,atoms_Li6,71,293296334.40000004,9.300365753424659,4.0775e+21,4.077712513724086e+21,4.0727135974601523e+21,4.082717565740808e+21
cell_3,atoms_Li6,71,315355396.8,9.99985403348554,4.07674e+21,4.077023379212045e+21,4.0714146919743593e+21,4.0826397928482716e+21
cell_3,atoms_Li6,71,316564696.8,10.038200684931507,4.07674e+21,4.077023379212045e+21,4.0714146919743593e+21,4.0826397928482716e+21
cell_3,atoms_Li6,71,6622551705.6,209.99973698630137,4.07674e+21,4.077023379212045e+21,4.0714146919743593e+21,4.0826397928482716e+21
cell_3,atoms_Li6,71,1577122396696.8,50010.22313219178,4.07674e+21,4.077023379212045e+21,4.0714146919743593e+21,4.0826397928482716e+21
cell_3,atoms_Li7,14,3153600.0,0.1,4.97159e+22,4.971589999999956e+22,4.971589999999915e+22,4.971589999999996e+22
cell_3,atoms_Li7,14,31536000.0,1.0,4.97158e+22,4.971581049077857e+22,4.971571285137958e+22,4.971590813036933e+22
cell_3,atoms_Li7,14,59927882.4,1.9003006849315067,4.97157e+22,4.971571232666528e+22,4.9715612851380555e+22,4.971581180214904e+22
cell_3,atoms_Li7,14,91453924.8,2.8999849315068493,4.97156e+22,4.971561953831215e+22,4.971550011363256e+22,4.971573896327861e+22
cell_3,atoms_Li7,14,119824207.2,3.799600684931507,4.97154e+22,4.971540160168068e+22,4.971529129522338e+22,4.971551190838272e+22
cell_3,atoms_Li7,14,148226047.2,4.700217123287671,4.97151e+22,4.971523868888572e+22,4.971495675299326e+22,4.971552062637706e+22
cell_3,atoms_Li7,14,176596329.6,5.599832876712329,4.97149e+22,4.971497724993572e+22,4.97146361808705e+22,4.9715318321340855e+22
cell_3,atoms_Li7,14,204998169.6,6.500449315068493,4.97147e+22,4.971478977108746e+22,4.9714379640687294e+22,4.971519990487109e+22
cell_3,atoms_Li7,14,236524212.0,7.500133561643835,4.97144e+22,4.9714545128610705e+22,4.971401070601216e+22,4.971507955695427e+22
cell_3,atoms_Li7,14,264894494.4,8.399749315068494,4.97141e+22,4.971429554759723e+22,4.971372375977325e+22,4.971486734199768e+22
cell_3,atoms_Li7,14,293296334.40000004,9.300365753424659,4.97138e+22,4.971391760483278e+22,4.971323941883785e+22,4.9714595800079495e+22
cell_3,atoms_Li7,14,315355396.8,9.99985403348554,4.97135e+22,4.971377525077568e+22,4.97130450650714e+22,4.971450544720495e+22
cell_3,atoms_Li7,14,316564696.8,10.038200684931507,4.97135e+22,4.971377525077568e+22,4.97130450650714e+22,4.971450544720495e+22
cell_3,atoms_Li7,14,6622551705.6,209.99973698630137,4.97135e+22,4.971377525077568e+22,4.97130450650714e+22,4.971450544720495e+22
cell_3,atoms_Li7,14,1577122396696.8,50010.22313219178,4.97135e+22,4.971377525077568e+22,4.97130450650714e+22,4.971450544720495e+22
cell_3,atoms_Li7,20,3153600.0,0.1,4.97159e+22,4.971589999999956e+22,4.971589999999915e+22,4.971589999999996e+22
cell_3,atoms_Li7,20,31536000.0,1.0,4.97159e+22,4.971589763957003e+22,4.971579999999989e+22,4.971599527933194e+22
cell_3,atoms_Li7,20,59927882.4,1.9003006849315067,4.97158e+22,4.971579947545914e+22,4.971570000000004e+22,4.9715898951117274e+22
cell_3,atoms_Li7,20,91453924.8,2.8999849315068493,4.97158e+22,4.9715793815235925e+22,4.97156743901377e+22,4.971591324062103e+22
cell_3,atoms_Li7,20,119824207.2,3.799600684931507,4.97158e+22,4.971576827208931e+22,4.971565796481846e+22,4.97158785796049e+22
cell_3,atoms_Li7,20,148226047.2,4.700217123287671,4.97157e+22,4.971568109595555e+22,4.971539915755419e+22,4.97159630359558e+22
cell_3,atoms_Li7,20,176596329.6,5.599832876712329,4.97156e+22,4.9715628399511694e+22,4.971528732597927e+22,4.971596947538406e+22
cell_3,atoms_Li7,20,204998169.6,6.500449315068493,4.97156e+22,4.971556827750289e+22,4.971515814068031e+22,4.9715978417708995e+22
cell_3,atoms_Li7,20,236524212.0,7.500133561643835,4.97155e+22,4.971546231882355e+22,4.9714927886365364e+22,4.971599675702685e+22
cell_3,atoms_Li7,20,264894494.4,8.399749315068494,4.97154e+22,4.971543639608709e+22,4.971486459514167e+22,4.971600820360914e+22
cell_3,atoms_Li7,20,293296334.40000004,9.300365753424659,4.97154e+22,4.9715336751341506e+22,4.97146585459869e+22,4.971601496594817e+22
cell_3,atoms_Li7,20,315355396.8,9.99985403348554,4.97153e+22,4.971523722203298e+22,4.971450701485555e+22,4.971596743993569e+22
cell_3,atoms_Li7,20,316564696.8,10.038200684931507,4.97153e+22,4.971523722203298e+22,4.971450701485555e+22,4.971596743993569e+22
cell_3,atoms_Li7,20,6622551705.6,209.99973698630137,4.97153e+22,4.971523722203298e+22,4.971450701485555e+22,4.971596743993569e+22
cell_3,atoms_Li7,20,1577122396696.8,50010.22313219178,4.97153e+22,4.971523722203298e+22,4.971450701485555e+22,4.971596743993569e+22
cell_3,atoms_Li7,71,3153600.0,0.1,4.97159e+22,4.971589999999956e+22,4.971589999999915e+22,4.971589999999996e+22
cell_3,atoms_Li7,71,31536000.0,1.0,4.97159e+22,4.971589763957003e+22,4.971579999999989e+22,4.971599527933194e+22
cell_3,atoms_Li7,71,59927882.4,1.9003006849315067,4.97158e+22,4.971579947545914e+22,4.971570000000004e+22,4.9715898951117274e+22
cell_3,atoms_Li7,71,91453924.8,2.8999849315068493,4.97157e+22,4.971575633220619e+22,4.971563690719801e+22,4.971587575750125e+22
cell_3,atoms_Li7,71,119824207.2,3.799600684931507,4.97156e+22,4.971562169433742e+22,4.971551138739179e+22,4.971573200152779e+22
cell_3,atoms_Li7,71,148226047.2,4.700217123287671,4.97155e+22,4.9715531402816155e+22,4.97152494652637e+22,4.971581334196749e+22
cell_3,atoms_Li7,71,176596329.6,5.599832876712329,4.97154e+22,4.9715417861487036e+22,4.9715076789399e+22,4.9715758935915e+22
cell_3,atoms_Li7,71,204998169.6,6.500449315068493,4.97153e+22,4.971534852733081e+22,4.971493839232109e+22,4.971575866572403e+22
cell_3,atoms_Li7,71,236524212.0,7.500133561643835,4.97152e+22,4.971516863388734e+22,4.971463420458622e+22,4.971570306893354e+22
cell_3,atoms_Li7,71,264894494.4,8.399749315068494,4.97151e+22,4.97150962799406e+22,4.971452448290702e+22,4.971566808355076e+22
cell_3,atoms_Li7,71,293296334.40000004,9.300365753424659,4.97149e+22,4.971491404371391e+22,4.971423584412579e+22,4.971559225255401e+22
cell_3,atoms_Li7,71,315355396.8,9.99985403348554,4.97148e+22,4.97148088335503e+22,4.971407863266496e+22,4.9715539045160845e+22
cell_3,atoms_Li7,71,316564696.8,10.038200684931507,4.97148e+22,4.97148088335503e+22,4.971407863266496e+22,4.9715539045160845e+22
cell_3,atoms_Li7,71,6622551705.6,209.99973698630137,4.97148e+22,4.97148088335503e+22,4.971407863266496e+22,4.9715539045160845e+22
cell_3,atoms_Li7,71,1577122396696.8,50010.22313219178,4.97148e+22,4.97148088335503e+22,4.971407863266496e+22,4.9715539045160845e+22
cell_2,atoms_H3,14,3153600.0,0.1,775567000000000.0,770259308679808.0,762558102936892.6,778038290227172.0
cell_2,atoms_H3,14,31536000.0,1.0,7572480000000000.0,7547653393249858.0,7472040556609168.0,7624031389156150.0
cell_2,atoms_H3,14,59927882.4,1.9003006849315067,2.43755e+16,2.430321119808551e+16,2.405235414789181e+16,2.455668459340888e+16
cell_2,atoms_H3,14,91453924.8,2.8999849315068493,4.22531e+16,4.214336074168725e+16,4.169202148387759e+16,4.259958599730631e+16
cell_2,atoms_H3,14,119824207.2,3.799600684931507,7.33625e+16,7.299839375828477e+16,7.215991547110477e+16,7.38466149315738e+16
cell_2,atoms_H3,14,148226047.2,4.700217123287671,1.05434e+17,1.053113493952179e+17,1.0403212954450922e+17,1.0660629903472946e+17
cell_2,atoms_H3,14,176596329.6,5.599832876712329,1.36571e+17,1.363264482569369e+17,1.3457051775786677e+17,1.3810529084677502e+17
cell_2,atoms_H3,14,204998169.6,6.500449315068493,1.66827e+17,1.6634879549953443e+17,1.6412193531966163e+17,1.686058704477808e+17
cell_2,atoms_H3,14,236524212.0,7.500133561643835,1.99473e+17,1.997384014111903e+17,1.9695084049818675e+17,2.025654163109047e+17
cell_2,atoms_H3,14,264894494.4,8.399749315068494,2.3674e+17,2.3730698231150442e+17,2.339292349710379e+17,2.407335015683902e+17
cell_2,atoms_H3,14,293296334.40000004,9.300365753424659,2.83959e+17,2.849643849171806e+17,2.8072119349271328e+17,2.892717135492477e+17
cell_2,atoms_H3,14,315355396.8,9.99985403348554,3.20071e+17,3.208021045656364e+17,3.15811585301666e+17,3.258714850357284e+17
cell_2,atoms_H3,14,316564696.8,10.038200684931507,3.19382e+17,3.2036688087344557e+17,3.1541505759916986e+17,3.253964447411042e+17
cell_2,atoms_H3,14,6622551705.6,209.99973698630137,4201140000000.0,4238684282380.5464,4153591607038.587,4325520211292.4
cell_2,atoms_H3,20,3153600.0,0.1,493155000000000.0,491502173153797.0,486588036685865.1,496465938333092.0
cell_2,atoms_H3,20,31536000.0,1.0,4814170000000000.0,4798597848631283.0,4750525212498121.0,4847156952731967.0
cell_2,atoms_H3,20,59927882.4,1.9003006849315067,1.54889e+16,1.5436843391385924e+16,1.5277504735851784e+16,1.5597843889451708e+16
cell_2,atoms_H3,20,91453924.8,2.8999849315068493,2.68315e+16,2.673824966199141e+16,2.6451893245578824e+16,2.702770604544451e+16
cell_2,atoms_H3,20,119824207.2,3.799600684931507,4.65397e+16,4.636124159377856e+16,4.582872447330866e+16,4.68999464161069e+16
cell_2,atoms_H3,20,148226047.2,4.700217123287671,6.68142e+16,6.655246564489138e+16,6.574405101859072e+16,6.737082085437624e+16
cell_2,atoms_H3,20,176596329.6,5.599832876712329,8.64555e+16,8.608723538048504e+16,8.497840283831888e+16,8.721053641776878e+16
cell_2,atoms_H3,20,204998169.6,6.500449315068493,1.05506e+17,1.0501123152097246e+17,1.0360547845127794e+17,1.0643605830879941e+17
cell_2,atoms_H3,20,236524212.0,7.500133561643835,1.26026e+17,1.2542615970072088e+17,1.2367570481683453e+17,1.2720138980060507e+17
