sample_id,split,FW_THICK_CM,PBLI_THICK_CM,SHIELD_THICK_CM,VV_THICK_CM,LI6_ENRICH_ATOM_FRAC,tbr,tbr_pred,ci_lower,ci_upper,pr_tbr_gt_1.05,pr_tbr_gt_1.10,pr_tbr_gt_1.15,pr_tbr_gt_1.20,pr_tbr_gt_1.25,pr_tbr_gt_1.30,pr_tbr_gt_1.35,pr_tbr_gt_1.40,pr_tbr_gt_1.45,pr_tbr_gt_1.50
34,train,3.26569547958256,61.69083093059256,47.35277823034148,29.98830804193911,0.8954208701472881,1.529913812059,1.5298168681624864,1.4946326769104532,1.5650010594145196,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9237253593368211
35,train,3.32784026283366,63.94153237830876,20.70998483214684,11.312573879012763,0.4546805259969265,1.484660640206,1.4842330518158244,1.4490488605637912,1.5194172430678576,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9864834261871266,0.2759370384381873
36,train,4.412325101255961,43.00193236468032,12.81845871633492,22.877462263004222,0.6089891199656949,1.430281968914,1.4364322908639124,1.4012480996118792,1.4716164821159456,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3071902656664949,0.0
37,calibration,1.6921812060934642,39.1568999253568,48.93602605998327,11.882293760448707,0.875514974109294,1.543249286626,1.5461403795290125,1.510956188276979,1.5813245707810455,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
38,train,3.632589881329026,38.51115915918219,44.833325356793374,27.47481317343867,0.3181949265807451,1.430745176013,1.458795315436066,1.4236111241840328,1.4939795066880992,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6249895922441842,0.0
39,train,2.6842481170025474,78.65835649218573,14.37858890603983,27.269222100279134,0.3500772968805409,1.497088837352,1.4970803407902569,1.4618961495382237,1.53226453204229,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.45850893390118197
40,train,4.8357309054334685,35.884975235331666,10.855856256428437,22.48624129145711,0.481669951753462,1.372598052252,1.3726495179264298,1.3374653266743963,1.407833709178463,1.0,1.0,1.0,1.0,1.0,1.0,0.8218706629375859,0.11132427518865208,0.0,0.0
41,train,3.3798302683822774,64.592601007218,27.749353253328948,22.166512394357547,0.683449358012574,1.509937008061,1.510194194631311,1.475010003379278,1.5453783858833443,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6448689634257546
42,train,2.3551250331378144,43.72457631016636,19.144261953616443,24.0839582643633,0.7177597759407499,1.546207345857,1.545992461275559,1.5108082700235257,1.581176652527592,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
43,train,2.098693372048271,57.5841105000028,42.913303430290846,25.91069040481338,0.6999590331379579,1.546815948031,1.5466325309008804,1.5114483396488472,1.5818167221529136,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
44,train,4.181297603293697,51.06992833058125,19.298568213724725,22.61747831280016,0.7583636332425507,1.464600596957,1.4645175798189662,1.429333388566933,1.4997017710709994,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7063082779844677,0.0
45,train,2.464021820791138,35.34094179721973,32.089632090906846,26.60942168786501,0.5014652379151703,1.527969766818,1.5281385746380185,1.492954383385985,1.5633227658900517,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8998752513089561
46,train,1.5640371686237895,49.49053345386865,27.314929022667467,11.611431207893826,0.4999397982489899,1.533164283188,1.5339157771551395,1.4987315859031063,1.5690999684071727,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9819746589056468
47,train,3.438154481634278,67.69590919278505,47.887932228682175,19.614681392453257,0.632185624152588,1.501441824878,1.5086446559919149,1.4734604647398817,1.543828847243948,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6228485817677468
48,train,2.99835872590017,66.8375925657966,10.48603923776614,21.878630129426902,0.8710135534686734,1.538864596629,1.539003356952363,1.5038191657003297,1.574187548204396,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
49,train,4.429082564898154,67.37742216910114,41.94869149398775,22.270868575969125,0.8655617943570313,1.455215939946,1.455094106076912,1.4199099148248788,1.4902782973289452,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5723919734351959,0.0
50,train,2.7950235886905785,30.64394495651603,35.51850962317653,21.56358307971908,0.3957984283003957,1.501094346572,1.5007159700455657,1.4655317787935325,1.5359001612975989,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5101745985922627
51,train,2.8954301008452004,78.41484207106055,37.17673406688141,23.89380243198308,0.7729989534171651,1.537945196935,1.5379442356237225,1.502760044371689,1.5731284268757555,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
